A|-|0|0|0|-1|0|2|2|2|0
A|7|0|0|0|-1|0|2|0|2|0
A|7|0|0|1|-1|0|2|2|2|3
A|6|0|0|0|-1|0|2|1|2|0
A|m|0|0|0|-1|0|2|2|1|0
A|m7|0|0|0|-1|0|2|0|1|0
A|m7|0|0|1|-1|0|2|2|1|3
A|m9|0|2|0|-1|0|2|4|1|0
A|sus2|0|0|0|-1|0|2|2|0|0
A|sus4|0|0|0|-1|0|2|2|4|0
Bb|-|1|1|0|-1|1|3|3|3|1
Bb|m|1|1|0|-1|1|3|3|2|1
Bb|7|1|1|0|-1|1|3|1|3|1
Bb|m7|1|1|0|-1|1|3|1|2|1
Bb|sus2|1|1|0|-1|1|3|3|1|1
Bb|sus4|1|1|0|-1|1|3|3|4|1
B|-|2|2|0|-1|2|4|4|4|2
B|7|2|2|0|-1|2|4|4|4|5
B|m|2|1|0|-1|2|4|4|3|2
B|m7|2|1|0|-1|2|4|2|3|2
B|sus2|2|0|0|-1|2|4|4|2|2
B|sus4|2|2|0|-1|2|4|4|5|2
C|-|0|0|0|-1|3|2|0|1|0
C|M7|0|0|0|3|3|2|0|0|0
C|7|0|0|0|-1|3|2|3|1|0
C|9|0|0|0-1|3|0|3|3|0
C|sus2|0|2|0|-1|3|0|0|3|3
C|sus4|0|2|0|-1|3|3|0|1|1
D|-|0|0|0|-1|-1|0|2|3|2
D|7|0|0|0|-1|-1|0|2|1|2
D|M7|0|0|0|-1|-1|0|2|2|2
D|m|0|0|0|-1|-1|0|2|3|1
D|m7|0|0|0|-1|-1|0|2|1|1
D|sus2|0|0|0|-1|-1|0|2|3|0
D|sus4|0|0|0|-1|-1|0|2|3|3
E|-|0|0|0|0|2|2|1|0|0
E|m|0|0|0|0|2|2|0|0|0
E|m9|0|0|0|0|2|4|0|0|0
E|7|0|0|0|0|2|0|1|0|0
E|m7|0|0|0|0|2|0|0|0|0
E|M7|0|0|0|0|2|1|1|0|0
E|sus4|0|0|0|0|2|0|2|0|0|0
E|7sus4|0|0|0|0|2|2|2|0|0|0
F|-|1|1|0|1|3|3|2|1|1
F|7|1|2|0|1|3|1|2|1|1
F|m|1|1|0|1|3|3|1|1|1
F|7m|1|1|0|1|3|1|1|1|1
F|sus4|1|1|0|1|3|3|3|1|1|1
F|7sus4|1|1|0|1|3|1|3|1|1|1
G|-|0|0|0|3|2|0|0|0|3
G|7|0|0|0|3|2|0|0|0|1
G|m|0|0|0|3|5|5|3|3|3
G|m7|0|0|0|3|5|3|3|3|3
